District,Rainfall,Water_Level,Humidity,Temperature,Wind_Speed,Flood_Occurrence
Vellore,0.83,0.37,52.9,35.9,30.8,0
Erode,0.0,1.1,52.7,34.9,6.8,0
Nagapattinam,136.06,4.86,100.0,28.5,39.5,0
Namakkal,0.0,1.48,43.0,38.3,13.9,0
Chennai,44.8,2.94,91.7,28.4,32.8,0
Sivaganga,0.0,0.3,48.3,33.6,5.1,0
Krishnagiri,0.0,1.34,48.3,34.2,10.6,0
Tiruvarur,5.53,0.84,72.3,31.7,32.9,0
Tiruppur,0.0,0.96,67.1,37.3,20.7,0
Tiruvarur,6.65,0.72,69.3,28.8,18.7,0
Kallakurichi,0.0,0.76,60.8,34.9,15.2,0
Salem,0.0,0.67,70.8,35.5,22.7,0
Virudhunagar,0.0,1.27,51.8,34.5,31.5,0
Ranipet,0.0,1.16,64.8,36.7,5.8,0
Coimbatore,1.71,0.62,60.1,30.2,11.0,0
Virudhunagar,0.0,0.77,51.6,30.9,9.1,0
Dharmapuri,0.0,0.87,55.7,27.9,6.8,0
Ramanathapuram,3.52,1.49,68.4,31.4,14.0,0
Chennai,39.1,2.02,72.7,30.4,31.9,0
Coimbatore,0.0,0.99,74.9,36.8,10.8,0
Viluppuram,0.0,0.93,67.7,30.5,18.4,0
Coimbatore,0.0,1.05,48.2,32.5,16.6,0
Virudhunagar,0.0,0.35,63.1,36.9,7.8,0
Tiruvallur,169.31,6.13,99.4,23.2,74.0,1
Nagapattinam,3.6,1.56,65.9,27.7,30.0,0
Tiruppur,0.0,0.78,56.9,37.1,19.1,0
Dharmapuri,0.0,0.92,58.6,35.1,7.5,0
Ramanathapuram,19.35,2.63,89.4,32.7,18.7,1
Cuddalore,45.93,2.13,82.5,27.9,46.2,0
Sivaganga,0.0,0.8,64.5,42.0,7.1,0
Erode,0.0,1.07,49.5,35.7,11.9,0
Chengalpattu,15.95,1.87,76.2,35.5,38.4,0
Dindigul,6.84,0.72,76.8,22.9,16.8,0
Tiruvallur,15.34,2.54,89.9,31.0,35.1,0
Krishnagiri,0.0,0.99,60.4,37.6,6.4,0
Nagapattinam,7.26,1.76,85.5,28.7,29.8,0
Kanyakumari,2.42,2.63,76.8,33.5,39.1,0
Mayiladuthurai,34.61,2.26,72.3,28.5,22.3,0
Namakkal,14.79,1.35,44.1,37.0,13.1,0
Tiruvallur,33.87,1.98,86.3,29.8,20.1,0
Tenkasi,55.4,3.66,96.1,24.0,13.4,0
Virudhunagar,0.0,0.53,72.1,31.5,6.7,0
Salem,0.0,1.0,63.2,36.1,22.5,0
Kanyakumari,155.23,5.97,89.8,26.8,54.9,0
Tiruppur,0.0,1.57,71.5,30.1,16.3,0
Kanyakumari,3.08,2.47,77.8,29.3,23.7,0
Tirunelveli,0.0,1.24,59.3,36.6,9.9,0
Tiruppur,0.0,1.11,65.2,37.0,34.8,0
Coimbatore,0.0,1.09,58.4,36.3,11.7,0
Mayiladuthurai,147.59,4.94,98.7,21.4,52.1,0
Erode,1.01,0.83,59.3,32.5,13.7,0
Kallakurichi,0.0,0.42,73.7,36.6,6.4,0
Tirupathur,89.56,5.27,89.9,12.8,12.6,0
Ranipet,0.0,0.32,69.7,39.4,11.7,0
Chennai,199.17,6.27,92.1,25.3,51.8,0
Ranipet,0.0,0.73,73.1,33.0,17.2,0
Karur,0.06,5.17,63.4,35.7,20.2,0
Salem,0.0,1.18,72.9,38.8,9.1,0
Ranipet,52.11,2.08,49.5,34.8,25.2,0
Kanyakumari,57.73,3.42,84.5,27.8,52.9,0
Salem,0.0,0.94,71.0,41.7,7.1,0
Tiruvallur,205.35,6.89,93.3,29.4,67.0,1
Cuddalore,11.53,0.97,66.4,30.2,34.0,0
Kanyakumari,29.09,2.27,78.8,27.6,22.7,0
Erode,0.0,1.03,73.9,28.9,6.4,0
Tiruvallur,19.37,2.91,77.5,27.7,36.2,0
Pudukkottai,0.13,1.71,80.7,29.7,74.1,0
Sivaganga,0.0,1.06,43.6,37.0,10.3,0
Madurai,0.0,1.08,73.8,33.5,5.8,0
Salem,0.0,1.04,54.4,34.8,19.1,0
Madurai,0.0,0.63,65.8,39.1,19.6,1
Salem,0.0,1.04,44.7,34.4,6.1,0
Coimbatore,0.0,1.54,62.4,36.2,21.2,0
Namakkal,0.0,0.86,55.6,37.6,21.3,0
Tiruchirappalli,30.1,4.26,80.4,35.4,31.5,0
Thanjavur,0.01,3.67,71.2,36.2,21.1,0
Ramanathapuram,8.92,1.6,87.4,29.7,32.2,0
Madurai,0.0,0.79,49.7,36.7,6.2,0
Tiruchirappalli,4.79,1.43,68.7,28.4,38.1,0
Madurai,0.0,0.99,45.2,30.0,9.6,0
Pudukkottai,43.41,2.17,86.7,27.7,50.8,1
Tiruvarur,36.38,2.11,88.8,31.0,22.7,1
Erode,0.0,1.83,67.6,37.3,5.5,0
Kanyakumari,40.64,1.11,85.3,26.7,23.9,0
Madurai,0.0,1.16,57.0,35.2,8.0,0
Tiruvarur,84.66,4.04,97.8,28.6,48.8,0
Ramanathapuram,33.2,1.31,79.8,30.5,25.6,0
Dindigul,50.74,2.64,76.9,26.0,6.7,0
Sivaganga,0.0,1.24,71.3,30.2,8.3,0
Ariyalur,98.77,7.18,91.5,25.5,19.7,0
Kanyakumari,27.01,2.95,92.6,28.5,36.5,0
Sivaganga,0.0,0.97,58.7,32.4,20.5,0
Virudhunagar,0.0,0.69,63.0,36.2,8.1,0
Viluppuram,0.0,1.19,42.3,33.4,14.3,0
Chennai,72.51,3.0,94.2,35.2,26.4,1
Virudhunagar,0.0,1.55,47.8,35.1,21.0,0
Kallakurichi,1.59,0.94,41.6,35.1,9.6,0
Tiruvallur,1.51,0.94,88.0,30.1,12.3,0
Tiruvallur,0.41,0.45,69.9,27.9,14.2,0
Nagapattinam,7.11,0.89,66.8,31.8,34.5,0
Dharmapuri,0.0,1.11,59.2,35.0,15.1,0
The Nilgiris,7.74,1.51,86.7,14.4,20.6,0
Thanjavur,0.28,2.69,63.5,33.0,6.3,0
Chennai,14.6,1.45,67.2,25.3,19.6,0
Mayiladuthurai,65.87,3.43,78.0,28.0,27.8,0
Coimbatore,0.0,0.98,53.7,37.3,8.7,0
Dindigul,15.78,2.41,85.7,23.7,14.3,0
Dindigul,36.48,2.5,91.4,16.5,9.3,1
Tirupathur,11.23,1.84,62.0,15.9,20.7,0
Karur,0.63,2.66,75.6,34.7,16.7,0
Tiruvannamalai,0.0,0.76,47.2,36.4,8.2,0
Viluppuram,0.0,1.22,44.8,37.2,33.2,0
Tirupathur,1.5,1.33,83.6,17.6,15.3,0
Virudhunagar,0.0,1.21,49.9,30.1,6.1,0
Vellore,0.0,0.6,59.6,29.1,13.6,0
Tenkasi,26.96,3.01,84.3,17.4,9.3,0
Tiruppur,0.0,0.71,47.4,37.0,25.2,0
Vellore,0.0,1.47,51.0,38.7,33.6,0
Viluppuram,0.0,0.93,70.5,35.2,8.0,0
Kallakurichi,0.0,0.47,55.3,31.0,7.3,0
The Nilgiris,2.97,0.97,68.7,19.3,5.1,0
Thanjavur,0.42,2.92,58.0,32.4,22.7,0
Sivaganga,0.0,1.61,52.7,41.5,14.6,0
Dindigul,27.92,1.9,70.9,9.1,9.4,1
Ranipet,0.0,0.88,59.0,31.7,38.5,0
Tirunelveli,0.0,1.25,47.5,36.8,5.8,0
Tiruvarur,26.16,2.31,94.7,29.4,24.8,0
Thoothukudi,19.47,1.17,70.7,25.9,19.0,0
Mayiladuthurai,173.34,5.08,97.7,25.9,61.5,1
Kallakurichi,0.0,0.55,54.3,36.8,6.3,0
Mayiladuthurai,119.61,4.97,85.5,25.5,63.0,1
Ariyalur,19.59,3.12,68.2,30.7,12.6,0
Viluppuram,0.0,1.02,49.0,33.8,11.2,0
Theni,44.4,3.04,66.1,12.4,6.3,0
Ariyalur,8.15,3.41,67.5,35.9,7.5,0
The Nilgiris,21.72,1.48,80.0,13.6,5.6,0
Viluppuram,0.0,0.57,73.1,37.0,10.9,0
Krishnagiri,0.0,0.83,42.0,34.9,5.9,0
Tenkasi,13.29,1.45,79.5,15.8,5.9,0
Tiruvallur,51.41,2.79,72.6,22.4,29.9,0
Ranipet,0.0,1.39,43.8,38.5,12.0,0
Krishnagiri,0.0,0.75,48.8,41.7,14.1,0
Chennai,16.07,1.63,85.3,29.9,20.9,0
Tiruvarur,103.18,3.73,100.0,23.6,69.0,0
Thoothukudi,7.09,1.38,87.1,29.1,27.6,0
Nagapattinam,24.53,1.94,73.1,27.3,54.2,0
Tiruchirappalli,0.34,4.44,82.3,37.2,45.4,1
Mayiladuthurai,6.53,1.61,80.7,32.2,15.8,0
Kanyakumari,76.38,3.27,85.1,30.9,53.0,0
Madurai,0.0,0.99,54.5,33.4,7.7,0
Tirupathur,15.12,2.3,69.1,25.5,16.4,0
Mayiladuthurai,132.99,5.22,95.2,27.1,62.7,1
Vellore,0.0,1.34,55.1,38.7,6.0,0
Perambalur,0.0,1.54,50.1,32.2,8.9,0
Coimbatore,0.0,0.95,74.5,34.6,9.5,0
Theni,179.27,8.61,100.0,9.3,18.8,1
Namakkal,0.0,0.71,46.8,32.9,7.1,0
Tiruppur,0.0,1.1,51.7,36.1,9.2,0
The Nilgiris,38.57,2.97,78.3,13.9,8.4,0
Tiruvannamalai,0.0,0.96,40.6,32.3,16.0,0
Dharmapuri,0.0,1.59,64.2,36.8,16.8,0
Vellore,0.0,1.63,51.0,35.4,13.7,0
Madurai,0.0,1.2,41.2,36.5,11.7,0
Krishnagiri,0.0,1.42,48.8,37.7,6.3,0
Tiruvannamalai,0.0,1.68,74.6,32.7,22.1,0
Madurai,0.0,1.95,43.4,37.9,5.6,0
Dharmapuri,0.0,1.07,65.2,38.4,6.4,1
Tiruvarur,6.55,0.4,81.6,32.6,13.7,0
Perambalur,0.0,0.9,51.6,39.0,5.8,0
Salem,0.0,0.81,42.2,29.3,17.5,0
The Nilgiris,89.76,5.02,69.3,19.4,16.3,0
Namakkal,0.0,1.3,46.7,34.6,13.3,0
Coimbatore,0.0,1.2,74.3,32.7,6.8,0
Chengalpattu,0.24,1.29,75.0,32.5,20.5,0
Ranipet,0.0,0.64,58.4,39.6,6.4,0
Madurai,0.0,1.15,70.2,45.0,10.2,1
Ranipet,0.0,0.55,54.2,36.8,5.5,0
Tiruchirappalli,6.14,2.5,65.9,34.9,9.1,0
Tiruvannamalai,33.58,1.79,66.8,35.6,11.7,0
Madurai,0.0,1.24,68.5,33.0,19.1,0
The Nilgiris,26.31,2.44,88.4,17.3,20.1,0
Virudhunagar,0.0,0.66,65.7,39.0,24.5,0
Cuddalore,0.65,0.72,71.4,34.3,17.2,0
Thoothukudi,76.74,3.33,84.5,21.5,34.4,1
Erode,0.0,1.07,46.9,33.4,9.1,0
Tiruvallur,0.36,1.25,80.1,34.4,39.8,1
Mayiladuthurai,4.98,1.4,72.7,33.1,16.5,0
Nagapattinam,4.6,2.06,76.4,26.3,31.8,0
Ramanathapuram,135.64,4.69,89.0,26.9,56.9,0
Virudhunagar,0.0,1.68,68.3,33.8,16.8,0
Tiruchirappalli,36.8,5.23,81.1,25.5,15.2,1
The Nilgiris,9.77,2.03,82.7,18.6,25.3,0
Perambalur,0.0,0.39,70.2,41.9,6.7,0
Tiruvarur,170.53,5.51,98.1,25.4,57.9,1
Ramanathapuram,4.89,1.15,89.6,32.5,15.2,0
Mayiladuthurai,0.56,2.5,88.6,28.1,23.9,0
Krishnagiri,0.0,1.31,44.6,35.8,15.1,0
Krishnagiri,0.0,1.01,44.9,34.2,12.3,0
Madurai,0.0,0.75,50.3,31.8,15.4,0
Virudhunagar,0.0,1.26,65.3,35.7,8.0,0
Viluppuram,0.0,0.88,62.0,35.4,6.7,0
Ramanathapuram,19.13,2.22,92.4,29.3,41.8,0
Tiruvarur,3.93,1.24,65.9,27.9,28.6,0
Thanjavur,1.48,3.02,71.5,28.9,31.5,0
Erode,4.86,1.39,54.2,39.3,19.8,0
Mayiladuthurai,117.57,3.61,95.1,25.6,38.3,1
Nagapattinam,61.81,2.9,85.3,30.2,24.5,0
Mayiladuthurai,30.14,2.21,83.8,28.6,19.5,0
Kallakurichi,0.0,0.55,60.9,37.3,13.3,0
Tirupathur,7.04,1.8,64.3,15.5,6.7,0
Thoothukudi,25.88,2.17,69.2,29.7,17.1,0
Kallakurichi,0.0,1.04,55.1,34.9,14.5,0
Kanyakumari,85.24,4.36,86.3,30.0,38.1,0
Kanyakumari,133.34,5.44,100.0,25.7,55.1,0
Tiruvallur,9.06,2.45,92.4,30.2,73.4,0
Tiruvannamalai,0.0,1.18,54.7,38.7,5.1,0
Krishnagiri,0.0,0.91,51.1,33.0,16.5,0
Tiruchirappalli,13.31,3.83,57.4,29.9,28.7,0
Ariyalur,0.55,3.1,75.1,36.8,8.0,0
Dindigul,29.88,3.2,89.6,17.7,17.6,0
Tiruppur,0.0,1.25,58.1,37.7,7.2,0
Tirunelveli,0.0,0.3,58.5,37.3,12.9,0
Krishnagiri,0.0,1.5,54.1,33.4,10.2,0
Erode,0.0,1.29,59.1,32.1,12.6,0
Dharmapuri,0.0,1.07,58.0,32.6,6.6,0
Ramanathapuram,3.12,1.4,72.3,28.9,40.8,0
Perambalur,0.0,1.11,66.4,34.1,8.1,0
Mayiladuthurai,42.73,2.79,94.2,30.1,26.9,0
Ariyalur,8.64,3.94,70.4,37.1,10.1,0
Mayiladuthurai,62.46,2.38,96.8,31.8,30.9,0
Viluppuram,0.0,1.73,56.5,39.6,20.3,0
Erode,0.0,0.8,45.3,34.5,7.7,0
Tiruppur,0.0,1.35,52.6,35.3,7.6,1
Perambalur,0.0,0.44,73.9,36.8,12.9,0
Tenkasi,35.69,3.25,90.8,18.9,12.8,0
Dindigul,48.23,2.68,69.8,12.6,12.6,0
Chennai,43.8,2.0,82.8,32.0,21.9,0
Thoothukudi,41.55,1.97,85.0,29.5,54.4,1
Tirunelveli,0.0,1.29,66.8,33.5,17.3,0
Krishnagiri,0.0,1.32,73.8,33.1,6.0,1
Viluppuram,0.0,1.44,45.9,37.9,17.6,0
Vellore,0.78,1.51,72.0,29.5,8.2,0
Sivaganga,0.0,1.33,72.5,34.7,13.7,1
Thoothukudi,0.45,0.5,79.6,31.5,26.1,0
Kallakurichi,0.0,0.57,71.9,39.3,5.2,0
Kallakurichi,0.0,1.22,66.5,32.5,6.5,0
Dindigul,52.79,2.35,93.5,10.6,12.6,0
Sivaganga,0.0,0.95,54.7,33.5,12.7,0
Thoothukudi,0.47,1.03,67.5,28.8,23.5,1
The Nilgiris,1.12,2.37,84.3,15.2,8.9,0
The Nilgiris,151.44,7.35,90.8,17.3,28.9,1
Tiruvallur,47.72,2.78,90.8,29.2,26.7,0
Tiruvallur,56.24,2.29,72.6,28.3,39.9,0
Tirunelveli,0.0,0.91,47.1,35.6,7.7,0
The Nilgiris,95.5,5.16,87.6,10.9,27.2,0
Theni,65.3,4.68,98.1,14.4,28.2,0
Tiruvallur,20.22,2.36,82.7,31.1,19.9,0
Kallakurichi,0.0,1.44,63.5,37.2,6.8,0
Virudhunagar,0.0,1.7,43.7,37.5,6.8,0
Dharmapuri,0.0,1.1,40.3,36.7,20.7,0
Tirunelveli,0.0,0.42,73.9,37.7,7.9,0
Viluppuram,0.0,0.73,43.3,33.3,12.9,0
Krishnagiri,0.0,0.92,67.1,35.8,8.7,1
Coimbatore,0.0,0.96,62.9,39.3,5.6,0
Madurai,0.0,0.52,52.5,36.6,10.5,0
Cuddalore,84.97,4.75,94.9,29.2,50.9,0
Tiruvarur,6.23,0.3,90.4,31.2,34.7,1
Virudhunagar,0.0,1.34,64.3,35.5,25.8,0
Tenkasi,47.76,3.46,65.1,9.1,11.0,0
Kallakurichi,3.4,0.92,64.3,35.2,13.5,0
Thoothukudi,1.76,1.45,76.4,32.0,25.6,0
Virudhunagar,0.0,0.88,54.1,33.8,19.0,0
Mayiladuthurai,12.37,1.81,73.9,31.6,20.5,0
Karur,22.36,2.42,79.0,28.2,23.2,0
Thanjavur,3.33,5.15,56.1,37.2,11.3,0
Tiruvannamalai,0.0,0.99,56.6,34.1,12.6,0
Ariyalur,29.29,4.66,68.8,33.5,12.5,0
Coimbatore,0.0,1.05,47.5,33.8,24.8,0
Ranipet,0.0,0.85,54.0,35.9,12.9,0
Cuddalore,70.54,3.04,84.9,32.6,24.7,1
Dharmapuri,0.0,1.06,51.1,33.7,15.0,0
Virudhunagar,0.0,1.04,44.7,32.7,22.0,0
Tenkasi,48.74,3.0,80.5,9.3,11.5,0
Tiruvannamalai,0.0,0.86,67.6,35.8,18.2,0
Pudukkottai,1.38,1.66,83.9,33.5,13.1,0
Chennai,17.0,2.0,71.6,30.0,36.5,0
Krishnagiri,0.0,0.74,68.2,32.9,10.6,0
Viluppuram,0.0,1.02,61.1,31.6,9.4,0
Vellore,0.0,1.64,64.9,37.6,17.0,0
Viluppuram,0.0,1.51,56.7,32.9,16.9,0
Tiruppur,0.0,1.5,60.6,33.0,11.2,0
Tenkasi,14.35,1.6,85.2,14.9,7.4,1
Tirupathur,54.13,3.97,73.0,8.0,11.5,1
Virudhunagar,0.0,0.3,71.4,29.5,22.4,0
Thoothukudi,11.3,1.38,73.4,27.5,22.5,0
Kallakurichi,0.0,1.48,44.2,32.8,5.1,0
Dharmapuri,0.0,1.06,41.6,34.4,24.1,0
Tiruvarur,20.37,2.21,80.8,28.4,39.9,0
Tirupathur,95.19,5.95,90.3,9.8,23.3,0
Dharmapuri,6.75,1.25,49.5,38.8,12.5,0
Salem,0.0,0.72,50.9,31.8,15.4,0
Madurai,0.0,0.87,41.0,35.1,6.3,0
Nagapattinam,39.28,2.02,71.5,30.4,22.9,1
Mayiladuthurai,125.19,4.87,97.1,27.1,54.1,1
Namakkal,0.0,0.43,70.6,37.6,9.3,0
Salem,0.23,0.92,50.7,31.7,14.3,0
Thoothukudi,68.75,3.43,74.4,30.8,28.3,1
Salem,0.0,0.89,74.9,34.8,11.9,0
Cuddalore,13.89,2.06,91.1,32.9,20.5,0
Tiruvannamalai,0.0,0.61,49.5,40.1,18.8,0
Namakkal,0.4,0.91,53.7,34.2,7.4,1
Vellore,0.28,1.38,65.5,33.6,19.4,1
Ranipet,0.0,0.95,73.4,37.3,5.1,0
Tiruppur,0.0,1.5,41.0,35.7,14.1,0
Thanjavur,0.05,2.04,65.3,33.4,7.8,0
Nagapattinam,0.89,2.19,79.2,31.0,13.1,0
Coimbatore,0.0,1.21,70.5,37.5,62.4,0
Erode,4.79,1.41,50.0,35.1,38.0,0
Perambalur,0.0,0.95,61.6,36.4,6.4,0
Tiruvallur,41.12,2.22,74.5,26.9,51.7,0
Pudukkottai,89.05,4.35,83.2,29.9,37.6,0
Madurai,0.0,1.35,45.1,35.1,6.7,0
Tirupathur,1.96,1.15,67.7,13.5,15.5,0
Cuddalore,5.72,3.0,77.5,32.7,18.2,1
Thanjavur,31.34,6.02,60.1,31.9,22.4,0
Kanyakumari,0.96,0.83,88.6,28.2,41.4,0
Ranipet,0.0,0.61,70.2,32.0,31.9,0
Tirupathur,0.77,1.44,73.8,16.5,12.8,0
The Nilgiris,142.0,8.13,78.1,11.6,13.8,1
Erode,0.0,0.76,57.1,35.0,9.8,0
Nagapattinam,2.37,1.01,89.7,30.9,28.0,0
Erode,0.0,1.33,67.0,36.1,6.3,0
Tiruvallur,0.26,2.5,73.6,29.8,31.6,0
Perambalur,0.0,0.91,64.9,36.1,8.9,0
Ramanathapuram,97.54,4.38,80.3,27.4,34.7,0
Theni,14.22,1.83,88.4,16.7,15.8,0
Dharmapuri,0.0,1.1,48.5,34.2,10.8,0
Dindigul,8.92,2.71,81.9,22.9,33.2,1
Tenkasi,9.13,0.7,89.8,12.0,10.4,0
Chennai,8.25,1.99,83.8,29.6,46.4,0
The Nilgiris,4.66,1.4,70.7,23.2,4.6,0
Thoothukudi,90.62,2.58,90.5,19.1,36.1,0
Ranipet,0.0,1.06,47.9,31.9,7.7,0
Thoothukudi,53.65,3.4,94.3,35.9,27.1,0
Dindigul,0.79,1.47,89.9,22.8,10.5,0
Chengalpattu,2.68,3.14,91.4,30.8,22.3,0
Perambalur,0.0,1.23,41.9,38.0,6.0,0
Ranipet,0.0,1.49,68.8,39.0,5.0,0
Perambalur,0.0,0.71,40.9,31.3,23.6,0
Tiruchirappalli,45.11,5.88,61.4,32.6,28.9,0
Tenkasi,91.16,5.62,88.3,10.8,10.5,0
Ranipet,0.0,0.67,58.2,33.6,10.6,0
Cuddalore,105.33,3.14,100.0,29.4,63.3,1
Tirupathur,6.09,1.39,73.7,16.3,8.2,0
Tiruchirappalli,2.04,1.86,58.5,31.9,18.7,0
Tiruvallur,143.59,5.35,97.1,29.0,62.1,0
Tiruvannamalai,0.0,1.31,69.0,30.1,6.2,0
Dharmapuri,0.0,1.06,63.4,30.2,7.0,1
Tiruchirappalli,12.74,3.11,68.1,35.4,7.6,0
Kallakurichi,0.0,0.49,60.2,34.8,11.9,0
Viluppuram,0.0,1.31,46.3,32.5,9.8,0
Cuddalore,151.8,5.27,86.5,25.5,44.9,1
Ramanathapuram,15.67,2.82,86.8,33.9,31.0,0
Vellore,0.0,0.9,44.4,38.5,10.1,0
Dindigul,54.12,2.85,65.8,11.4,9.2,0
Nagapattinam,13.05,1.61,66.9,30.9,15.0,0
Krishnagiri,5.51,0.93,57.6,33.8,8.3,0
Tenkasi,107.69,5.22,80.8,15.1,11.0,1
Dharmapuri,0.0,0.91,59.9,31.2,8.4,0
Erode,0.0,0.83,57.8,34.2,11.7,0
Ariyalur,4.71,4.29,61.3,28.3,25.0,0
Krishnagiri,0.42,0.87,72.4,38.0,5.5,0
Cuddalore,138.13,5.36,100.0,27.7,63.1,0
Madurai,0.0,0.89,49.6,36.0,11.3,0
Dharmapuri,0.0,0.93,73.0,33.8,9.6,0
Namakkal,0.0,1.4,55.6,38.3,30.9,0
Tirupathur,7.97,1.58,92.2,15.6,13.3,0
Thanjavur,0.61,4.42,75.6,34.0,10.8,1
Chennai,93.41,3.39,86.9,31.1,39.5,0
Erode,0.0,0.96,49.1,34.3,8.8,0
Chennai,76.48,2.77,90.2,27.5,32.7,0
Pudukkottai,6.48,2.37,66.8,32.0,34.6,0
Ariyalur,57.19,3.92,75.9,33.1,19.4,1
Theni,169.52,8.12,77.0,16.3,13.3,0
Sivaganga,33.42,2.02,62.1,31.6,27.8,0
Namakkal,0.0,1.25,47.8,34.5,9.9,0
Virudhunagar,0.0,1.11,44.5,28.0,21.7,0
Ramanathapuram,94.31,2.72,98.5,29.2,77.1,0
Ranipet,0.0,0.83,53.0,31.2,7.6,0
Vellore,0.0,1.52,57.4,34.4,10.5,0
Karur,10.78,5.21,79.1,30.7,7.6,0
Nagapattinam,3.09,0.88,70.7,29.3,12.9,0
Chengalpattu,18.52,2.15,86.8,27.7,19.8,0
Dindigul,11.54,1.59,80.1,17.7,7.5,0
Tiruchirappalli,0.04,1.23,76.2,30.7,9.2,0
Karur,5.27,3.87,70.8,41.0,12.7,0
Tiruppur,0.0,1.22,67.1,32.1,6.6,0
Krishnagiri,0.0,0.39,68.6,30.3,12.3,0
Chennai,4.5,1.08,67.7,30.3,47.1,0
Mayiladuthurai,27.55,1.74,90.9,34.3,49.8,0
Chengalpattu,0.68,1.73,89.4,31.3,13.2,0
Dharmapuri,0.0,1.91,63.8,37.2,21.6,0
The Nilgiris,89.25,5.15,82.2,15.8,10.9,0
Tiruvarur,34.2,2.22,77.0,29.9,33.4,0
Madurai,0.0,1.48,74.7,30.3,25.2,0
Ariyalur,39.28,3.69,74.5,34.9,10.8,0
Perambalur,0.0,0.98,71.5,38.9,7.9,0
Erode,0.0,1.12,41.4,35.9,11.2,0
Salem,0.0,0.89,63.5,33.3,5.4,0
Dharmapuri,0.0,0.7,67.3,33.4,14.9,0
Dharmapuri,6.25,0.65,72.7,39.0,8.1,0
Cuddalore,79.5,4.18,83.9,32.5,43.9,0
Ariyalur,16.55,2.08,74.0,36.4,40.1,0
Tiruvannamalai,0.0,1.4,57.4,36.6,9.6,0
Chengalpattu,105.55,3.99,82.0,33.9,40.2,1
Krishnagiri,0.0,1.27,49.4,36.1,24.8,0
Ramanathapuram,4.1,2.1,90.6,31.6,52.1,0
Ranipet,0.0,1.07,45.2,31.9,5.8,0
Tiruvannamalai,0.0,0.99,50.2,37.7,7.5,0
Viluppuram,0.0,0.83,51.5,35.3,8.8,0
Mayiladuthurai,114.52,4.41,92.5,30.8,59.2,1
Chengalpattu,0.15,2.32,90.4,32.1,15.2,0
Tiruppur,0.0,1.32,49.2,33.6,8.0,0
Tirunelveli,0.0,0.3,42.8,36.4,36.2,0
Madurai,0.0,1.11,42.4,36.0,5.3,0
Salem,0.0,0.72,62.2,38.0,6.6,0
Kanyakumari,0.78,0.76,91.2,30.3,14.4,0
Tiruppur,0.0,0.84,60.3,35.3,5.1,0
Namakkal,0.0,1.23,62.5,32.0,39.1,0
Coimbatore,0.0,0.68,53.0,37.6,8.9,0
Madurai,0.0,1.8,72.3,37.6,7.2,0
Thoothukudi,29.37,2.29,69.7,30.6,21.6,0
Viluppuram,0.0,1.16,44.6,42.1,37.3,0
Madurai,0.0,0.9,44.1,37.8,29.9,0
Ramanathapuram,51.83,2.11,91.5,31.5,30.3,0
Tiruchirappalli,14.11,3.42,75.7,30.3,12.8,0
Salem,0.0,1.12,47.4,33.9,10.5,0
Karur,1.47,3.31,63.0,30.4,29.3,0
Salem,0.0,0.68,65.5,31.1,10.8,0
Kanyakumari,116.54,5.21,79.5,26.0,36.7,0
Nagapattinam,43.1,0.97,82.2,27.7,56.6,0
Erode,0.0,0.97,61.3,38.7,14.3,0
Mayiladuthurai,95.78,4.0,96.8,27.4,61.7,0
Tiruvannamalai,0.0,1.63,74.3,34.5,10.8,0
Karur,16.9,4.55,81.7,33.4,9.5,1
Chengalpattu,63.25,3.61,79.8,29.3,46.1,0
Krishnagiri,0.0,1.18,56.3,37.9,7.8,0
Tiruchirappalli,74.27,6.12,88.8,31.1,25.8,1
Ariyalur,8.99,4.23,68.5,32.8,10.9,0
Vellore,24.96,0.92,78.1,32.9,15.0,0
Dindigul,25.85,1.99,74.6,17.0,5.7,1
Perambalur,2.36,0.62,68.1,30.6,15.5,0
Theni,16.2,1.05,67.8,21.6,19.4,0
Tiruvannamalai,0.0,1.04,54.6,37.3,7.1,0
Thanjavur,0.73,4.16,71.0,29.7,12.0,0
Chennai,31.98,1.63,83.9,29.7,39.3,0
Tiruchirappalli,6.42,3.07,63.8,32.3,6.9,0
Viluppuram,0.0,0.3,50.7,36.9,12.2,0
Tenkasi,51.93,3.34,93.0,17.9,7.9,0
Sivaganga,0.0,0.89,47.3,35.0,8.8,0
Virudhunagar,0.0,0.83,54.9,41.6,15.6,0
Namakkal,0.0,0.8,55.2,35.9,7.4,0
Tiruppur,0.0,0.79,59.7,35.0,31.1,0
Tiruvarur,4.61,1.84,86.2,29.5,59.8,0
Cuddalore,0.23,1.33,84.2,31.5,12.6,0
Kallakurichi,0.0,1.31,72.7,34.3,16.3,0
Salem,0.0,1.3,50.8,37.6,12.6,0
Kanyakumari,31.57,1.59,70.3,30.6,39.2,1
Mayiladuthurai,49.37,2.46,90.2,30.4,29.4,0
Thanjavur,33.37,6.77,69.1,31.1,11.6,0
Cuddalore,17.21,1.41,79.2,29.3,22.4,0
Karur,2.18,2.82,84.3,33.9,24.8,1
Pudukkottai,33.24,3.38,95.2,29.0,20.2,0
The Nilgiris,9.9,1.0,78.9,16.1,6.7,0
Kallakurichi,2.63,0.95,72.5,32.2,67.1,0
Sivaganga,0.0,1.18,68.9,32.2,15.7,0
Kanyakumari,0.16,2.19,80.7,34.0,34.1,0
Tiruvannamalai,0.0,0.72,53.2,36.2,12.7,0
Chennai,0.01,0.89,80.5,35.8,18.5,0
